iter	Passed	Remaining
0	99	99889
1	100	50183
2	101	33882
3	103	25756
4	104	20865
5	106	17611
6	106	15172
7	107	13327
8	108	11963
9	110	10906
10	111	10051
11	113	9336
12	114	8726
13	116	8223
14	118	7779
15	119	7351
16	120	6941
17	121	6617
18	123	6360
19	125	6132
20	126	5919
21	128	5724
22	130	5558
23	132	5397
24	134	5256
25	136	5128
26	138	5004
27	140	4888
28	142	4772
29	144	4665
30	146	4566
31	147	4472
32	149	4382
33	151	4292
34	152	4209
35	154	4132
36	155	4053
37	157	3974
38	158	3898
39	159	3824
40	160	3758
41	161	3690
42	162	3623
43	164	3566
44	165	3506
45	166	3449
46	167	3393
47	168	3339
48	169	3286
49	170	3232
50	170	3174
51	171	3126
52	172	3085
53	173	3043
54	174	3005
55	175	2966
56	176	2927
57	177	2890
58	178	2853
59	179	2818
60	180	2782
61	181	2748
62	182	2715
63	183	2683
64	184	2651
65	185	2620
66	185	2588
67	186	2553
68	187	2524
69	187	2495
70	188	2466
71	189	2439
72	189	2412
73	190	2386
74	191	2360
75	192	2335
76	192	2309
77	193	2285
78	193	2261
79	194	2237
80	195	2214
81	195	2192
82	196	2170
83	197	2148
84	197	2124
85	198	2104
86	198	2081
87	198	2062
88	199	2043
89	200	2024
90	200	2005
91	201	1987
92	201	1968
93	202	1951
94	202	1933
95	203	1916
96	204	1899
97	204	1882
98	205	1866
99	205	1849
100	206	1834
101	206	1816
102	206	1801
103	207	1786
104	207	1771
105	208	1756
106	208	1742
107	209	1729
108	209	1715
109	210	1701
110	210	1687
111	211	1674
112	211	1661
113	212	1648
114	212	1636
115	213	1623
116	213	1611
117	213	1599
118	214	1587
119	214	1575
120	215	1564
121	215	1553
122	216	1542
123	216	1531
124	217	1520
125	217	1510
126	218	1500
127	218	1488
128	218	1478
129	219	1469
130	219	1459
131	220	1449
132	221	1440
133	221	1431
134	221	1422
135	222	1413
136	222	1404
137	223	1394
138	223	1386
139	224	1377
140	224	1369
141	225	1360
142	225	1352
143	226	1344
144	226	1336
145	227	1328
146	227	1320
147	228	1313
148	228	1305
149	229	1297
150	229	1290
151	230	1283
152	230	1276
153	231	1269
154	231	1262
155	231	1255
156	232	1248
157	232	1241
158	233	1234
159	233	1227
160	234	1221
161	234	1215
162	235	1209
163	235	1202
164	236	1196
165	236	1190
166	237	1184
167	237	1178
168	238	1172
169	238	1166
170	239	1160
171	239	1154
172	240	1148
173	240	1142
174	241	1137
175	241	1131
176	242	1126
177	242	1120
178	243	1115
179	243	1110
180	243	1103
181	244	1098
182	244	1093
183	245	1088
184	245	1083
185	246	1078
186	246	1073
187	247	1068
188	247	1063
189	248	1058
190	248	1053
191	249	1048
192	249	1044
193	250	1039
194	250	1034
195	251	1030
196	251	1025
197	252	1021
198	252	1016
199	253	1012
200	253	1008
201	254	1003
202	254	999
203	255	995
204	255	990
205	255	986
206	256	982
207	256	978
208	257	974
209	257	970
210	258	966
211	258	962
212	259	958
213	259	954
214	260	950
215	260	946
216	261	943
217	261	939
218	262	935
219	262	932
220	263	928
221	263	924
222	264	920
223	264	917
224	265	913
225	265	910
226	266	906
227	266	902
228	267	899
229	267	895
230	268	892
231	268	888
232	269	885
233	269	882
234	270	878
235	270	875
236	271	872
237	271	869
238	272	866
239	272	863
240	273	859
241	273	856
242	274	853
243	274	850
244	275	847
245	275	844
246	275	841
247	276	838
248	276	835
249	277	832
250	277	829
251	278	826
252	278	823
253	279	820
254	279	817
255	280	814
256	280	811
257	281	809
258	281	806
259	282	803
260	282	800
261	283	797
262	283	795
263	284	792
264	284	789
265	285	787
266	285	784
267	286	781
268	286	778
269	287	776
270	287	773
271	288	770
272	288	768
273	288	765
274	289	763
275	290	760
276	290	758
277	291	756
278	291	753
279	292	751
280	292	748
281	293	746
282	293	743
283	293	741
284	294	738
285	294	736
286	295	733
287	295	731
288	296	729
289	296	727
290	297	724
291	298	722
292	298	720
293	299	718
294	299	715
295	300	713
296	300	711
297	300	708
298	301	706
299	301	704
300	302	702
301	302	700
302	303	697
303	303	695
304	304	693
305	304	691
306	305	689
307	305	687
308	306	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	312	658
322	313	656
323	313	654
324	314	652
325	314	650
326	315	648
327	315	646
328	316	644
329	316	642
330	317	640
331	317	638
332	318	637
333	318	635
334	318	633
335	319	631
336	319	629
337	320	627
338	320	625
339	321	623
340	321	622
341	322	620
342	322	618
343	323	616
344	323	614
345	324	613
346	324	611
347	325	609
348	325	608
349	326	606
350	326	604
351	327	602
352	327	600
353	328	599
354	328	597
355	329	595
356	329	593
357	330	592
358	330	590
359	331	588
360	331	586
361	332	585
362	332	583
363	333	581
364	333	580
365	334	578
366	334	576
367	335	575
368	335	573
369	336	572
370	336	570
371	337	569
372	337	567
373	338	565
374	338	564
375	339	562
376	339	561
377	340	559
378	340	557
379	340	556
380	341	554
381	341	553
382	342	551
383	342	549
384	343	548
385	343	546
386	344	545
387	344	543
